date,language,stargazers,starsToday,description,owner,name,url
2022-11-16,python,148338,172,All Algorithms implemented in Python,TheAlgorithms,Python,https://github.com/TheAlgorithms/Python
2022-11-16,python,1349,157,用文本编辑器剪视频,mli,autocut,https://github.com/mli/autocut
2022-11-16,python,1189,270,Python code to parse a Twitter archive and output in various ways,timhutton,twitter-archive-parser,https://github.com/timhutton/twitter-archive-parser
2022-11-16,python,127470,122,Python - 100天从新手到大师,jackfrued,Python-100-Days,https://github.com/jackfrued/Python-100-Days
2022-11-16,python,14971,57,Collection of Summer 2023 tech internships!,pittcsc,Summer2023-Internships,https://github.com/pittcsc/Summer2023-Internships
2022-11-16,python,6909,170,Rembg is a tool to remove images background.,danielgatis,rembg,https://github.com/danielgatis/rembg
2022-11-16,python,1108,17,OpenMMLab Rotated Object Detection Toolbox and Benchmark,open-mmlab,mmrotate,https://github.com/open-mmlab/mmrotate
2022-11-16,python,4779,250,Generates LaTeX math description from Python functions.,google,latexify_py,https://github.com/google/latexify_py
2022-11-16,python,74278,73,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",huggingface,transformers,https://github.com/huggingface/transformers
2022-11-16,python,466,37,stable diffusion webui with contrastive prompt tuning,7eu7d7,DreamArtist-stable-diffusion,https://github.com/7eu7d7/DreamArtist-stable-diffusion
2022-11-16,python,203,27,DreamArtist for Stable-Diffusion-webui extension,7eu7d7,DreamArtist-sd-webui-extension,https://github.com/7eu7d7/DreamArtist-sd-webui-extension
2022-11-16,python,124,16,An ActivityPub/Fediverse server,andrewgodwin,takahe,https://github.com/andrewgodwin/takahe
2022-11-16,python,4312,101,"Image inpainting tool powered by SOTA AI Model. Remove any unwanted object, defect, people from your pictures or erase and replace(powered by stable diffusion) any thing on your pictures.",Sanster,lama-cleaner,https://github.com/Sanster/lama-cleaner
2022-11-16,python,190,36,"Unifying Flow, Stereo and Depth Estimation",autonomousvision,unimatch,https://github.com/autonomousvision/unimatch
2022-11-16,python,844,2,"Official Implementation of OCR-free Document Understanding Transformer (Donut) and Synthetic Document Generator (SynthDoG), ECCV 2022",clovaai,donut,https://github.com/clovaai/donut
2022-11-16,python,24610,76,GFPGAN aims at developing Practical Algorithms for Real-world Face Restoration.,TencentARC,GFPGAN,https://github.com/TencentARC/GFPGAN
2022-11-16,python,74713,12,Models and examples built with TensorFlow,tensorflow,models,https://github.com/tensorflow/models
2022-11-16,python,44779,25,A fully functional local AWS cloud stack. Develop and test your cloud & Serverless apps offline!,localstack,localstack,https://github.com/localstack/localstack
2022-11-16,python,89,16,华为招聘状态码全天候在线自动查询工具,zgzhengSEU,HWStatusCodeAutoQuery,https://github.com/zgzhengSEU/HWStatusCodeAutoQuery
2022-11-16,python,2664,18,AITemplate is a Python framework which renders neural network into high performance CUDA/HIP C++ code. Specialized for FP16 TensorCore (NVIDIA GPU) and MatrixCore (AMD GPU) inference.,facebookincubator,AITemplate,https://github.com/facebookincubator/AITemplate
2022-11-16,python,40,4,李峋的跳动的爱心，你值得拥有,star-start,Beating_heart,https://github.com/star-start/Beating_heart
2022-11-16,python,26637,33,"Awesome multilingual OCR toolkits based on PaddlePaddle (practical ultra lightweight OCR system, support 80+ languages recognition, provide data annotation and synthesis tools, support training and deployment among server, mobile, embedded and IoT devices)",PaddlePaddle,PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR
2022-11-16,python,3449,6,Some out-of-the-box hooks for pre-commit,pre-commit,pre-commit-hooks,https://github.com/pre-commit/pre-commit-hooks
2022-11-16,python,3294,1,This repository is for active development of the Azure SDK for Python. For consumers of the SDK we recommend visiting our public developer docs at https://docs.microsoft.com/python/azure/ or our versioned developer docs at https://azure.github.io/azure-sdk-for-python.,Azure,azure-sdk-for-python,https://github.com/Azure/azure-sdk-for-python
2022-11-16,python,203018,241,Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards.,donnemartin,system-design-primer,https://github.com/donnemartin/system-design-primer
