date,language,stargazers,starsToday,description,owner,name,url
2024-09-19,rust,6042,68,Feature packed AUR helper,Morganamilo,paru,https://github.com/Morganamilo/paru
2024-09-19,rust,26770,100,"A scalable, distributed, collaborative, document-graph database, for the realtime web",surrealdb,surrealdb,https://github.com/surrealdb/surrealdb
2024-09-19,rust,31086,46,"An extremely fast Python linter and code formatter, written in Rust.",astral-sh,ruff,https://github.com/astral-sh/ruff
2024-09-19,rust,1783,2,The Parity Polkadot Blockchain SDK,paritytech,polkadot-sdk,https://github.com/paritytech/polkadot-sdk
2024-09-19,rust,8606,9,An operating system designed for hosting containers,bottlerocket-os,bottlerocket,https://github.com/bottlerocket-os/bottlerocket
2024-09-19,rust,5925,3,Apache DataFusion SQL Query Engine,apache,datafusion,https://github.com/apache/datafusion
2024-09-19,rust,58171,3,Rust full node implementation of the Fuel v2 protocol.,FuelLabs,fuel-core,https://github.com/FuelLabs/fuel-core
2024-09-19,rust,2945,14,Package management made easy,prefix-dev,pixi,https://github.com/prefix-dev/pixi
2024-09-19,rust,5245,11,"Modern embedded framework, using Rust and async.",embassy-rs,embassy,https://github.com/embassy-rs/embassy
2024-09-19,rust,3810,4,"Modular, contributor-friendly and blazing-fast implementation of the Ethereum protocol, in Rust",paradigmxyz,reth,https://github.com/paradigmxyz/reth
2024-09-19,rust,46521,27,"A lightning-fast search API that fits effortlessly into your apps, websites, and workflow",meilisearch,meilisearch,https://github.com/meilisearch/meilisearch
2024-09-19,rust,47149,60,"Code at the speed of thought – Zed is a high-performance, multiplayer code editor from the creators of Atom and Tree-sitter.",zed-industries,zed,https://github.com/zed-industries/zed
2024-09-19,rust,36921,38,"Unofficial Bitwarden compatible server written in Rust, formerly known as bitwarden_rs",dani-garcia,vaultwarden,https://github.com/dani-garcia/vaultwarden
2024-09-19,rust,20215,33,🤖 Just a command runner,casey,just,https://github.com/casey/just
2024-09-19,rust,20180,12,✨ Magical shell history,atuinsh,atuin,https://github.com/atuinsh/atuin
2024-09-19,rust,25108,10,Secure and fast microVMs for serverless computing.,firecracker-microvm,firecracker,https://github.com/firecracker-microvm/firecracker
2024-09-19,rust,48774,19,A cat(1) clone with wings.,sharkdp,bat,https://github.com/sharkdp/bat
2024-09-19,rust,47684,52,ripgrep recursively searches directories for a regex pattern while respecting your gitignore,BurntSushi,ripgrep,https://github.com/BurntSushi/ripgrep
2024-09-19,rust,34245,9,Lightning-fast and Powerful Code Editor written in Rust,lapce,lapce,https://github.com/lapce/lapce
2024-09-19,rust,9923,22,A Rust crate for cooking up terminal user interfaces (TUIs) 👨‍🍳🐀 https://ratatui.rs,ratatui,ratatui,https://github.com/ratatui/ratatui
2024-09-19,rust,29305,26,"Dataframes powered by a multithreaded, vectorized query engine, written in Rust",pola-rs,polars,https://github.com/pola-rs/polars
2024-09-19,rust,81963,45,"Build smaller, faster, and more secure desktop applications with a web frontend.",tauri-apps,tauri,https://github.com/tauri-apps/tauri
