date,language,stargazers,starsToday,description,owner,name,url
2023-05-21,css,96,11,A simple Chrome extension to help you login ChatGPT.,pengzhile,ChatGPTAuthHelper,https://github.com/pengzhile/ChatGPTAuthHelper
2023-05-21,css,4241,3,,safak,youtube,https://github.com/safak/youtube
2023-05-21,css,3996,5,The Most Complete React UI Component Library,primefaces,primereact,https://github.com/primefaces/primereact
2023-05-21,css,15169,7,不止于 CSS,chokcoco,iCSS,https://github.com/chokcoco/iCSS
2023-05-21,css,25,5,CodeWithHarry YouTube video code for ChatGPT Clone,CodeWithHarry,chatgpt-clone-youtube,https://github.com/CodeWithHarry/chatgpt-clone-youtube
2023-05-21,css,1326,2,Python example app from the OpenAI API quickstart tutorial,openai,openai-quickstart-python,https://github.com/openai/openai-quickstart-python
2023-05-21,css,3147,2,,john-smilga,javascript-basic-projects,https://github.com/john-smilga/javascript-basic-projects
2023-05-21,css,2916,3,Master the creation of Modern UX/UI Websites,adrianhajdin,project_modern_ui_ux_gpt3,https://github.com/adrianhajdin/project_modern_ui_ux_gpt3
2023-05-21,css,8166,2,The Most Complete Angular UI Component Library,primefaces,primeng,https://github.com/primefaces/primeng
2023-05-21,css,4739,2,静态响应式网址导航网站 - webstack.cc,WebStackPage,WebStackPage.github.io,https://github.com/WebStackPage/WebStackPage.github.io
2023-05-21,css,6158,6,List of awesome CSS frameworks in 2023,troxler,awesome-css-frameworks,https://github.com/troxler/awesome-css-frameworks
2023-05-21,css,2513,1,A minimal Jekyll Theme to host your resume (CV),sharu725,online-cv,https://github.com/sharu725/online-cv
2023-05-21,css,105,1,"👩🏽‍🏫 Get to know the academy, teachers, students, locations around the world and why everyone talking about us, one of the  top places to learn to code end evolve your coding skills .",4GeeksAcademy,About-4Geeks-Academy,https://github.com/4GeeksAcademy/About-4Geeks-Academy
2023-05-21,css,780,2,Fluent design gtk theme for linux desktops,vinceliuice,Fluent-gtk-theme,https://github.com/vinceliuice/Fluent-gtk-theme
2023-05-21,css,3754,1,,john-smilga,react-projects,https://github.com/john-smilga/react-projects
2023-05-21,css,4891,3,CSS tricks for web developers~,l-hammer,You-need-to-know-css,https://github.com/l-hammer/You-need-to-know-css
2023-05-21,css,1883,2,Cloudflare’s documentation,cloudflare,cloudflare-docs,https://github.com/cloudflare/cloudflare-docs
2023-05-21,css,545,1,Free React Admin Template,primefaces,sakai-react,https://github.com/primefaces/sakai-react
2023-05-21,css,9428,3,A curated collection of all country flags in SVG — plus the CSS for easier integration,lipis,flag-icons,https://github.com/lipis/flag-icons
2023-05-21,css,4225,2,"A lightweight, efficient and powerful micro front-end framework. 一款轻量、高效、功能强大的微前端框架",micro-zoe,micro-app,https://github.com/micro-zoe/micro-app
2023-05-21,css,7652,3,A drop-in collection of CSS styles to make simple websites just a little nicer,kognise,water.css,https://github.com/kognise/water.css
2023-05-21,css,0,0,,Coding-Club-IITG,Open-Source-Tasks-2023,https://github.com/Coding-Club-IITG/Open-Source-Tasks-2023
2023-05-21,css,110,29,unleashing the power of eww!,end-4,dots-hyprland,https://github.com/end-4/dots-hyprland
2023-05-21,css,4,0,jus for testing,promise-J,LM-tech-Template,https://github.com/promise-J/LM-tech-Template
2023-05-21,css,3475,1,A brazen two-column theme for Jekyll.,poole,hyde,https://github.com/poole/hyde
