date,language,stargazers,starsToday,description,owner,name,url
2022-08-29,go,1808,179,Source code and community space of  100 Go Mistakes,teivah,100-go-mistakes,https://github.com/teivah/100-go-mistakes
2022-08-29,go,2328,269,"Instant, easy, predictable shells and containers.",jetpack-io,devbox,https://github.com/jetpack-io/devbox
2022-08-29,go,12059,103,Vector database for scalable similarity search and AI applications.,milvus-io,milvus,https://github.com/milvus-io/milvus
2022-08-29,go,471,4,Gno language & gno.land chain,gnolang,gno,https://github.com/gnolang/gno
2022-08-29,go,6959,7,Ebitengine - A dead simple 2D game library for Go,hajimehoshi,ebiten,https://github.com/hajimehoshi/ebiten
2022-08-29,go,9871,10,"cheat allows you to create and view interactive cheatsheets on the command-line. It was designed to help remind *nix system administrators of options for commands that they use frequently, but not frequently enough to remember.",cheat,cheat,https://github.com/cheat/cheat
2022-08-29,go,19024,101,"Dapr is a portable, event-driven, runtime for building distributed applications across cloud and edge.",dapr,dapr,https://github.com/dapr/dapr
2022-08-29,go,3328,5,"A comprehensive, up-to-date collection of information about several thousands (!) of crypto tokens.",trustwallet,assets,https://github.com/trustwallet/assets
2022-08-29,go,12592,19,Network-wide ads & trackers blocking DNS server,AdguardTeam,AdGuardHome,https://github.com/AdguardTeam/AdGuardHome
2022-08-29,go,9117,101,Open Source realtime backend in 1 file,pocketbase,pocketbase,https://github.com/pocketbase/pocketbase
2022-08-29,go,4943,2,A high-performance and strong-extensibility Go RPC framework that helps developers build microservices.,cloudwego,kitex,https://github.com/cloudwego/kitex
2022-08-29,go,2667,44,Open source permissions database inspired by Google Zanzibar,authzed,spicedb,https://github.com/authzed/spicedb
2022-08-29,go,3598,21,Adversary Emulation Framework,BishopFox,sliver,https://github.com/BishopFox/sliver
2022-08-29,go,46304,43,Open Source Continuous File Synchronization,syncthing,syncthing,https://github.com/syncthing/syncthing
2022-08-29,go,6240,1,Lightning Network Daemon,lightningnetwork,lnd,https://github.com/lightningnetwork/lnd
2022-08-29,go,4695,10,A Cloud Native traffic orchestration system,megaease,easegress,https://github.com/megaease/easegress
2022-08-29,go,9495,9,"Xray, Penetrates Everything. Also the best v2ray-core, with XTLS support. Fully compatible configuration.",XTLS,Xray-core,https://github.com/XTLS/Xray-core
2022-08-29,go,84,2,Nitro goes vroom and fixes everything,OffchainLabs,nitro,https://github.com/OffchainLabs/nitro
2022-08-29,go,30431,31,A rule-based tunnel in Go.,Dreamacro,clash,https://github.com/Dreamacro/clash
2022-08-29,go,1688,2,A high-performance and strong-extensibility Go HTTP framework that helps developers build microservices.,cloudwego,hertz,https://github.com/cloudwego/hertz
2022-08-29,go,86643,67,"A curated list of awesome Go frameworks, libraries and software",avelino,awesome-go,https://github.com/avelino/awesome-go
2022-08-29,go,17806,15,A platform for building proxies to bypass network restrictions.,v2fly,v2ray-core,https://github.com/v2fly/v2ray-core
2022-08-29,go,6299,12,Take control over your live stream video by running it yourself. Streaming + chat out of the box.,owncast,owncast,https://github.com/owncast/owncast
2022-08-29,go,17756,19,"Fast, secure, efficient backup program",restic,restic,https://github.com/restic/restic
2022-08-29,go,103217,32,The Go programming language,golang,go,https://github.com/golang/go
