date,language,stargazers,starsToday,description,owner,name,url
2023-11-04,scala,37109,11,Apache Spark - A unified analytics engine for large-scale data processing,apache,spark,https://github.com/apache/spark
2023-11-04,scala,3038,9,A simple client for Android,xxf098,shadowsocksr-v2ray-trojan-android,https://github.com/xxf098/shadowsocksr-v2ray-trojan-android
2023-11-04,scala,742,8,Gluten: Plugin to Double SparkSQL's Performance,oap-project,gluten,https://github.com/oap-project/gluten
2023-11-04,scala,4607,1,Simple and Distributed Machine Learning,microsoft,SynapseML,https://github.com/microsoft/SynapseML
2023-11-04,scala,1503,0,Twitter-Server defines a template from which services at Twitter are built,twitter,twitter-server,https://github.com/twitter/twitter-server
2023-11-04,scala,5064,2,"Lightweight, modular, and extensible library for functional programming.",typelevel,cats,https://github.com/typelevel/cats
2023-11-04,scala,3249,0,Chisel: A Modern Hardware Design Language,chipsalliance,chisel,https://github.com/chipsalliance/chisel
2023-11-04,scala,1759,0,Apache Kyuubi is a distributed and multi-tenant gateway to provide serverless SQL on data warehouses and lakehouses.,apache,kyuubi,https://github.com/apache/kyuubi
2023-11-04,scala,0,0,reach json fields using Scala's Dynamic Type,lucastorri,jsonflow,https://github.com/lucastorri/jsonflow
2023-11-04,scala,855,0,"Bloop is a build server and CLI tool to compile, test and run Scala fast from any editor or build tool.",scalacenter,bloop,https://github.com/scalacenter/bloop
2023-11-04,scala,2669,0,Wonderful reusable code from Twitter,twitter,util,https://github.com/twitter/util
2023-11-04,scala,5454,2,"The Scala 3 compiler, also known as Dotty.",lampepfl,dotty,https://github.com/lampepfl/dotty
2023-11-04,scala,0,0,,LeifAndersen,CPSLambdaCalc,https://github.com/LeifAndersen/CPSLambdaCalc
2023-11-04,scala,2273,0,"Fast, testable, Scala services built on TwitterServer and Finagle",twitter,finatra,https://github.com/twitter/finatra
2023-11-04,scala,403,0,A Spark plugin for reading and writing Excel files,crealytics,spark-excel,https://github.com/crealytics/spark-excel
2023-11-04,scala,1971,0,TextTeaser is an automatic summarization algorithm.,MojoJolo,textteaser,https://github.com/MojoJolo/textteaser
2023-11-04,scala,340,1,"Protocol for IDEs and build tools to communicate about compile, run, test, debug and more.",build-server-protocol,build-server-protocol,https://github.com/build-server-protocol/build-server-protocol
2023-11-04,scala,776,0,The Daml smart contract language,digital-asset,daml,https://github.com/digital-asset/daml
2023-11-04,scala,162,0,"This project provides Scala.js type-safe bindings for Node.js (current) v8.7.0 and LTS v6.11.4 APIs. The platform supports MEAN (MongoDB, Express, AngularJs, NodeJS), Cassandra, MySQL and many other npm projects.",scalajs-io,nodejs,https://github.com/scalajs-io/nodejs
2023-11-04,scala,297,0,Scala translations of Robert Sedgewick's Java Algorthms,garyaiki,Scala-Algorithms,https://github.com/garyaiki/Scala-Algorithms
2023-11-04,scala,12796,1,"Build highly concurrent, distributed, and resilient message-driven applications on the JVM",akka,akka,https://github.com/akka/akka
2023-11-04,scala,11540,2,CMAK is a tool for managing Apache Kafka clusters,yahoo,CMAK,https://github.com/yahoo/CMAK
2023-11-04,scala,4059,1,Open-source high-performance RISC-V processor,OpenXiangShan,XiangShan,https://github.com/OpenXiangShan/XiangShan
2023-11-04,scala,783,0,A Thrift parser/generator,twitter,scrooge,https://github.com/twitter/scrooge
2023-11-04,scala,469,1,XML data source for Spark SQL and DataFrames,databricks,spark-xml,https://github.com/databricks/spark-xml
